Rotational Angle,Tilt Angle,Voltage
-15,-30,215
-15,-29,215
-15,-28,215
-15,-27,216
-15,-26,215
-15,-25,211
-15,-24,201
-15,-23,200
-15,-22,190
-15,-21,190
-15,-20,182
-15,-19,181
-15,-18,179
-15,-17,175
-15,-16,166
-15,-15,153
-15,-14,143
-15,-13,141
-15,-12,132
-15,-11,111
-15,-10,42
-15,-9,42
-15,-8,36
-15,-7,22
-15,-6,22
-15,-5,13
-15,-4,1
-15,-3,0
-15,-2,1
-15,-1,1
-15,0,1
-15,1,1
-15,2,1
-15,3,1
-15,4,1
-15,5,1
-15,6,1
-15,7,1
-15,8,1
-15,9,10
-15,10,1
-15,11,7
-15,12,1
-15,13,1
-15,14,1
-15,15,10
-15,16,1
-15,17,1
-15,18,1
-15,19,1
-15,20,5
-15,21,1
-15,22,1
-15,23,11
-15,24,7
-15,25,1
-15,26,1
-15,27,1
-15,28,12
-15,29,2
-15,30,1
-14,-30,2
-14,-29,4
-14,-28,7
-14,-27,140
-14,-26,173
-14,-25,172
-14,-24,190
-14,-23,195
-14,-22,193
-14,-21,191
-14,-20,184
-14,-19,172
-14,-18,172
-14,-17,158
-14,-16,159
-14,-15,150
-14,-14,149
-14,-13,133
-14,-12,132
-14,-11,133
-14,-10,85
-14,-9,38
-14,-8,38
-14,-7,28
-14,-6,28
-14,-5,34
-14,-4,34
-14,-3,17
-14,-2,15
-14,-1,15
-14,0,6
-14,1,1
-14,2,1
-14,3,1
-14,4,1
-14,5,1
-14,6,1
-14,7,1
-14,8,1
-14,9,8
-14,10,3
-14,11,3
-14,12,19
-14,13,15
-14,14,1
-14,15,1
-14,16,1
-14,17,1
-14,18,0
-14,19,1
-14,20,1
-14,21,1
-14,22,0
-14,23,1
-14,24,1
-14,25,6
-14,26,1
-14,27,1
-14,28,2
-14,29,1
-14,30,2
-13,-30,1
-13,-29,1
-13,-28,99
-13,-27,99
-13,-26,166
-13,-25,188
-13,-24,189
-13,-23,193
-13,-22,183
-13,-21,193
-13,-20,186
-13,-19,175
-13,-18,173
-13,-17,165
-13,-16,164
-13,-15,149
-13,-14,126
-13,-13,125
-13,-12,120
-13,-11,103
-13,-10,102
-13,-9,32
-13,-8,13
-13,-7,11
-13,-6,11
-13,-5,2
-13,-4,1
-13,-3,1
-13,-2,0
-13,-1,3
-13,0,2
-13,1,11
-13,2,4
-13,3,3
-13,4,5
-13,5,5
-13,6,1
-13,7,1
-13,8,1
-13,9,1
-13,10,1
-13,11,1
-13,12,1
-13,13,0
-13,14,3
-13,15,3
-13,16,3
-13,17,5
-13,18,13
-13,19,13
-13,20,9
-13,21,1
-13,22,1
-13,23,1
-13,24,5
-13,25,1
-13,26,1
-13,27,5
-13,28,19
-13,29,19
-13,30,26
-12,-30,0
-12,-29,4
-12,-28,47
-12,-27,155
-12,-26,190
-12,-25,189
-12,-24,197
-12,-23,195
-12,-22,185
-12,-21,184
-12,-20,172
